system_id,tool_prompt_contract_id,failure_mode,count
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_canonical_json_copy,canonical_json_copy_v3,argument_mismatch,2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_canonical_json_copy,canonical_json_copy_v3,call_count_mismatch,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_canonical_json_copy,canonical_json_copy_v3,exact,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_canonical_json_copy,canonical_json_copy_v3,no_tool_call,3
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_canonical_json_copy,canonical_json_copy_v3,wrong_tool,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_tool_initiation,visual_tool_initiation_v3,call_count_mismatch,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_tool_initiation,visual_tool_initiation_v3,exact,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_tool_initiation,visual_tool_initiation_v3,executable_paraphrase,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_tool_initiation,visual_tool_initiation_v3,no_tool_call,4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_tool_initiation,visual_tool_initiation_v3,wrong_tool,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_parallel_two_call_array,parallel_two_call_array_v3,argument_mismatch,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_parallel_two_call_array,parallel_two_call_array_v3,no_tool_call,7
